Source,Target,Weight
82,1071,1.0
82,1149,1.0
82,1277,1.0
82,1308,1.0
82,1330,1.0
82,1333,1.0
82,1455,1.0
82,1542,1.0
82,1692,1.0
82,1747,1.0
82,1804,1.0
82,1848,1.0
82,1885,1.0
82,1976,1.0
82,1980,1.0
82,1984,1.0
82,2052,1.0
82,2068,1.0
82,2190,1.0
82,2216,1.0
82,2295,1.0
82,2356,1.0
82,2358,1.0
82,2377,1.0
82,2386,1.0
82,2419,1.0
82,2522,1.0
82,2706,1.0
82,2790,1.0
82,2889,1.0
82,2891,1.0
82,3047,1.0
82,3089,1.0
82,3107,1.0
82,3156,1.0
